-22.387400,29.295400,-1.570796,1.500000
-22.387400,29.205300,-1.627768,1.500000
-22.387400,29.115200,-1.664930,1.500000
-22.387400,29.025100,-1.713115,1.500000
-22.387400,28.935100,-1.666440,1.500000
-22.387400,28.845000,-1.620074,1.500000
-22.387400,28.754900,-1.668099,1.500000
-22.387400,28.664800,-1.704684,1.500000
-22.477500,28.574700,-1.698620,1.500000
-22.477500,28.484600,-1.691429,1.500000
-22.477500,28.394500,-1.731692,1.500000
-22.477500,28.304400,-1.768768,1.500000
-22.567600,28.214300,-1.771065,1.500000
-22.567600,28.124200,-1.723868,1.500000
-22.567600,28.034200,-1.723102,1.500000
-22.567600,27.944100,-1.773864,1.500000
-22.657700,27.854000,-1.763516,1.500000
-22.657700,27.763900,-1.766979,1.500000
-22.657700,27.673800,-1.770320,1.500000
-22.657700,27.583700,-1.760087,1.500000
-22.747800,27.493600,-1.810295,1.500000
-22.747800,27.403500,-1.814027,1.500000
-22.747800,27.313400,-1.756131,1.500000
-22.837900,27.223300,-1.810276,1.500000
-22.837900,27.133300,-1.844394,1.500000
-22.837900,27.043200,-1.832736,1.500000
-22.928000,26.953100,-1.835586,1.500000
-22.928000,26.863000,-1.834485,1.500000
-22.928000,26.772900,-1.838521,1.500000
-23.018100,26.682800,-1.821309,1.500000
-23.018100,26.592700,-1.869025,1.500000
-23.108200,26.502600,-1.855589,1.500000
-23.108200,26.412500,-1.842205,1.500000
-23.108200,26.322400,-1.888501,1.500000
-23.198300,26.232400,-1.871983,1.500000
-23.198300,26.142300,-1.874610,1.500000
-23.288300,26.052200,-1.877337,1.500000
-23.288300,25.962100,-1.860539,1.500000
-23.378400,25.872000,-1.906607,1.500000
-23.378400,25.781900,-1.889830,1.500000
-23.468500,25.691800,-1.893408,1.500000
-23.468500,25.601700,-1.893113,1.500000
-23.558600,25.511600,-1.890608,1.500000
-23.558600,25.421500,-1.902802,1.500000
-23.648700,25.331500,-1.867004,1.500000
-23.648700,25.241400,-1.831508,1.500000
-23.738800,25.151300,-1.840790,1.500000
-23.738800,25.061200,-1.851601,1.500000
-23.828900,24.971100,-1.812674,1.500000
-23.828900,24.881000,-1.788165,1.500000
-23.828900,24.790900,-1.748630,1.500000
-23.828900,24.700800,-1.759421,1.500000
-23.919000,24.610700,-1.768842,1.500000
-23.919000,24.520600,-1.732602,1.500000
-23.919000,24.430600,-1.692700,1.500000
-23.919000,24.340500,-1.700143,1.500000
-23.919000,24.250400,-1.704313,1.500000
-24.009100,24.160300,-1.674553,1.500000
-24.009100,24.070200,-1.595782,1.500000
-24.009100,23.980100,-1.566106,1.500000
-24.009100,23.890000,-1.570735,1.500000
-24.009100,23.799900,-1.575359,1.500000
-24.009100,23.709800,-1.545711,1.500000
-24.009100,23.619700,-1.467035,1.500000
-23.919000,23.529700,-1.436977,1.500000
